,Position,Symbol,Lots,Lots Change/Max,Entry Execution,Entry Signal,Entry Bar,Entry Date,Entry Time,Entry Price,Entry Commission,Exit Execution,Exit Signal,Exit Bar,Exit Date,Exit Time,Exit Price,Exit Commission,Weighted entry price,P/L,P/L per trade,P/L per lot,Fixed P/L,Open P/L,Bars Held,Profit/Bar,Gross Profit/loss,% of Change,MAE,MAE %,MFE,MFE %
-,"Long","ETHUSDT",+0.68,+0.68,Normal,"B",2 165 393,27.10.2021,04:25:00,4 273.30,+2.32467520,Normal,"sB",2 165 610,27.10.2021,08:02:00,4 100.00,+2.23040000,4 273.30000000,-122.39907520,-117.84400000,-179.99864000,-122.39907520,+0.00000000,217,-0.56405104,9 309.06267048,-4.21,-173.30,-4.06%,+41.30,0.97%
-,"Short","ETHUSDT",-0.01,+0.01,Normal,"S",2 165 610,27.10.2021,08:02:00,4 100.00,+0.03280000,Normal,"sS",2 167 168,28.10.2021,10:00:00,4 162.85,+0.03330280,4 100.00000000,-0.69460280,-0.62850000,-69.46028000,-0.69460280,+0.00000000,1 558,-0.00044583,9 308.36806768,-1.69,-62.85,-1.53%,+211.00,5.15%
-,"Long","ETHUSDT",+0.69,+0.69,Normal,"B",2 167 168,28.10.2021,10:00:00,4 162.85,+2.29789320,Normal,"sB",2 171 413,31.10.2021,08:45:00,4 269.70,+2.35687440,4 162.85000000,+69.07173240,+73.72650000,+100.10396000,+69.07173240,+0.00000000,4 245,+0.01627132,9 377.43980008,+2.40,-45.20,-1.09%,+307.60,7.39%
-,"Short","ETHUSDT",-0.01,+0.01,Normal,"S",2 171 413,31.10.2021,08:45:00,4 269.70,+0.03415760,Normal,"sS",2 172 347,01.11.2021,00:19:00,4 319.95,+0.03455960,4 269.70000000,-0.57121720,-0.50250000,-57.12172000,-0.57121720,+0.00000000,934,-0.00061158,9 376.86858288,-1.34,-66.35,-1.55%,+107.55,2.52%
-,"Long","ETHUSDT",+0.67,+0.67,Normal,"B",2 172 347,01.11.2021,00:19:00,4 319.95,+2.31549320,Normal,"sB",2 172 479,01.11.2021,02:31:00,4 202.35,+2.25245960,4 319.95000000,-83.35995280,-78.79200000,-124.41784000,-83.35995280,+0.00000000,132,-0.63151479,9 293.50863008,-2.88,-117.60,-2.72%,+7.40,0.17%
-,"Short","ETHUSDT",-0.01,+0.01,Normal,"S",2 172 479,01.11.2021,02:31:00,4 202.35,+0.03361880,Normal,"sS",2 172 764,01.11.2021,07:16:00,4 316.20,+0.03452960,4 202.35000000,-1.20664840,-1.13850000,-120.66484000,-1.20664840,+0.00000000,285,-0.00423385,9 292.30198168,-2.87,-117.15,-2.79%,+62.35,1.48%
-,"Long","ETHUSDT",+0.67,+0.67,Normal,"B",2 172 764,01.11.2021,07:16:00,4 316.20,+2.31348320,Normal,"sB",2 177 567,04.11.2021,15:19:00,4 473.25,+2.39766200,4 316.20000000,+100.51235480,+105.22350000,+150.01844000,+100.51235480,+0.00000000,4 803,+0.02092699,9 392.81433648,+3.48,-53.65,-1.24%,+361.65,8.38%
-,"Short","ETHUSDT",-0.01,+0.01,Normal,"S",2 177 567,04.11.2021,15:19:00,4 473.25,+0.03578600,Normal,"sS",2 178 457,05.11.2021,06:09:00,4 563.15,+0.03650520,4 473.25000000,-0.97129120,-0.89900000,-97.12912000,-0.97129120,+0.00000000,890,-0.00109134,9 391.84304528,-2.17,-89.90,-2.01%,+50.25,1.12%
-,"Long","ETHUSDT",+0.63,+0.63,Normal,"B",2 178 457,05.11.2021,06:09:00,4 563.15,+2.29982760,Normal,"sB",2 178 803,05.11.2021,11:55:00,4 480.55,+2.25819720,4 563.15000000,-56.59602480,-52.03800000,-89.83496000,-56.59602480,+0.00000000,346,-0.16357233,9 335.24702048,-1.97,-82.60,-1.81%,+11.60,0.25%
-,"Short","ETHUSDT",-0.01,+0.01,Normal,"S",2 178 803,05.11.2021,11:55:00,4 480.55,+0.03584440,Normal,"sS",2 179 867,06.11.2021,05:39:00,4 512.00,+0.03609600,4 480.55000000,-0.38644040,-0.31450000,-38.64404000,-0.38644040,+0.00000000,1 064,-0.00036320,9 334.86058008,-0.86,-60.95,-1.36%,+33.50,0.75%
