,Position,Symbol,Lots,Lots Change/Max,Entry Execution,Entry Signal,Entry Bar,Entry Date,Entry Time,Entry Price,Entry Commission,Exit Execution,Exit Signal,Exit Bar,Exit Date,Exit Time,Exit Price,Exit Commission,Weighted entry price,P/L,P/L per trade,P/L per lot,Fixed P/L,Open P/L,Bars Held,Profit/Bar,Gross Profit/loss,% of Change,MAE,MAE %,MFE,MFE %
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",5 001,22.08.2017,11:23:00,+310.24,+0.03971072,Normal,"sS",5 839,23.08.2017,02:09:00,+313.16,+0.04008448,+310.24000000,-0.54699520,-0.46720000,-3.41872000,-0.54699520,+0.00000000,838,-0.00065274,-0.54699520,-1.10,-10.52,-3.39%,+8.76,2.82%
-,"Long","ETHUSDT",+3.19,+3.19,Normal,"B",5 839,23.08.2017,02:09:00,+313.16,+0.79918432,Normal,"sB",18 983,04.09.2017,07:34:00,+290.99,+0.74260648,+313.16000000,-72.26409080,-70.72230000,-22.65332000,-72.26409080,+0.00000000,13 144,-0.00549788,-72.81108600,-7.23,-32.94,-10.52%,+81.23,25.94%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",18 983,04.09.2017,07:34:00,+290.99,+0.03724672,Normal,"sS",20 217,05.09.2017,12:18:00,+298.97,+0.03826816,+290.99000000,-1.35231488,-1.27680000,-8.45196800,-1.35231488,+0.00000000,1 234,-0.00109588,-74.16340088,-2.90,-23.28,-8.00%,+55.44,19.05%
-,"Long","ETHUSDT",+3.34,+3.34,Normal,"B",20 217,05.09.2017,12:18:00,+298.97,+0.79884784,Normal,"sB",22 791,08.09.2017,14:16:00,+273.01,+0.72948272,+298.97000000,-88.23473056,-86.70640000,-26.41758400,-88.23473056,+0.00000000,2 574,-0.03427923,-162.39813144,-8.84,-26.97,-9.02%,+43.53,14.56%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",22 791,08.09.2017,14:16:00,+273.01,+0.03712936,Normal,"sS",24 236,10.09.2017,18:05:00,+300.01,+0.04080136,+273.01000000,-4.66793072,-4.59000000,-27.45841600,-4.66793072,+0.00000000,1 445,-0.00323040,-167.06606216,-10.06,-37.45,-13.72%,+11.98,4.39%
-,"Long","ETHUSDT",+3.33,+3.33,Normal,"B",24 236,10.09.2017,18:05:00,+300.01,+0.79922664,Normal,"sB",25 953,12.09.2017,18:09:00,+292.10,+0.77815440,+300.01000000,-27.91768104,-26.34030000,-8.38368800,-27.91768104,+0.00000000,1 717,-0.01625957,-194.98374320,-2.79,-14.80,-4.93%,+16.45,5.48%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",25 953,12.09.2017,18:09:00,+292.10,+0.03738880,Normal,"sS",28 472,15.09.2017,14:16:00,+255.00,+0.03264000,+292.10000000,+5.86597120,+5.93600000,+36.66232000,+5.86597120,+0.00000000,2 519,+0.00232869,-189.11777200,+12.55,-5.56,-1.90%,+100.10,34.27%
-,"Long","ETHUSDT",+4.07,+4.07,Normal,"B",28 472,15.09.2017,14:16:00,+255.00,+0.83028000,Normal,"sB",32 626,21.09.2017,15:55:00,+267.02,+0.86941712,+255.00000000,+47.22170288,+48.92140000,+11.60238400,+47.22170288,+0.00000000,4 154,+0.01136777,-141.89606912,+4.55,-19.97,-7.83%,+51.22,20.09%
-,"Short","ETHUSDT",-0.18,+0.18,Normal,"S",32 626,21.09.2017,15:55:00,+267.02,+0.03845088,Normal,"sS",33 214,23.09.2017,11:19:00,+278.85,+0.04015440,+267.02000000,-2.20800528,-2.12940000,-12.26669600,-2.20800528,+0.00000000,588,-0.00375511,-144.10407440,-4.59,-11.98,-4.49%,+14.92,5.59%
-,"Long","ETHUSDT",+3.58,+3.58,Normal,"B",33 214,23.09.2017,11:19:00,+278.85,+0.79862640,Normal,"sB",39 089,28.09.2017,19:57:00,+298.00,+0.85347200,+278.85000000,+66.90490160,+68.55700000,+18.68852000,+66.90490160,+0.00000000,5 875,+0.01138807,-77.19917280,+6.70,-3.85,-1.38%,+34.15,12.25%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",39 089,28.09.2017,19:57:00,+298.00,+0.03814400,Normal,"sS",39 954,29.09.2017,11:54:00,+297.00,+0.03801600,+298.00000000,+0.08384000,+0.16000000,+0.52400000,+0.08384000,+0.00000000,865,+0.00009692,-77.11533280,+0.18,-6.06,-2.03%,+24.00,8.05%
-,"Long","ETHUSDT",+3.37,+3.37,Normal,"B",39 954,29.09.2017,11:54:00,+297.00,+0.80071200,Normal,"sB",43 575,02.10.2017,12:10:00,+300.09,+0.80904264,+297.00000000,+8.80354536,+10.41330000,+2.61232800,+8.80354536,+0.00000000,3 621,+0.00243125,-68.31178744,+0.88,-6.89,-2.32%,+10.49,3.53%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",43 575,02.10.2017,12:10:00,+300.09,+0.03841152,Normal,"sS",44 096,03.10.2017,00:37:00,+299.58,+0.03834624,+300.09000000,+0.00484224,+0.08160000,+0.03026400,+0.00484224,+0.00000000,521,+0.00000929,-68.30694520,+0.01,-1.90,-0.63%,+5.09,1.70%
-,"Long","ETHUSDT",+3.34,+3.34,Normal,"B",44 096,03.10.2017,00:37:00,+299.58,+0.80047776,Normal,"sB",44 342,03.10.2017,05:36:00,+296.33,+0.79179376,+299.58000000,-12.44727152,-10.85500000,-3.72672800,-12.44727152,+0.00000000,246,-0.05059866,-80.75421672,-1.24,-3.25,-1.08%,+1.42,0.47%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",44 342,03.10.2017,05:36:00,+296.33,+0.03793024,Normal,"sS",45 274,04.10.2017,01:22:00,+293.44,+0.03756032,+296.33000000,+0.38690944,+0.46240000,+2.41818400,+0.38690944,+0.00000000,932,+0.00041514,-80.36730728,+0.82,-0.47,-0.16%,+13.15,4.44%
-,"Long","ETHUSDT",+3.4,+3.4,Normal,"B",45 274,04.10.2017,01:22:00,+293.44,+0.79815680,Normal,"sB",45 763,04.10.2017,12:49:00,+289.93,+0.78860960,+293.44000000,-13.52076640,-11.93400000,-3.97669600,-13.52076640,+0.00000000,489,-0.02764983,-93.88807368,-1.36,-3.51,-1.20%,+4.53,1.54%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",45 763,04.10.2017,12:49:00,+289.93,+0.03943048,Normal,"sS",45 908,04.10.2017,16:01:00,+293.98,+0.03998128,+289.93000000,-0.76791176,-0.68850000,-4.51712800,-0.76791176,+0.00000000,145,-0.00529594,-94.65598544,-1.56,-4.46,-1.54%,+1.93,0.67%
-,"Long","ETHUSDT",+3.39,+3.39,Normal,"B",45 908,04.10.2017,16:01:00,+293.98,+0.79727376,Normal,"sB",46 094,04.10.2017,20:40:00,+289.82,+0.78599184,+293.98000000,-15.68566560,-14.10240000,-4.62704000,-15.68566560,+0.00000000,186,-0.08433154,-110.34165104,-1.57,-4.92,-1.67%,+0.41,0.14%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",46 094,04.10.2017,20:40:00,+289.82,+0.03941552,Normal,"sS",46 246,05.10.2017,01:07:00,+292.71,+0.03980856,+289.82000000,-0.57052408,-0.49130000,-3.35602400,-0.57052408,+0.00000000,152,-0.00375345,-110.91217512,-1.16,-3.68,-1.27%,+1.82,0.63%
-,"Long","ETHUSDT",+3.41,+3.41,Normal,"B",46 290,05.10.2017,02:12:00,+293.43,+0.80047704,Normal,"sB",46 352,05.10.2017,03:35:00,+289.13,+0.78874664,+293.43000000,-16.25222368,-14.66300000,-4.76604800,-16.25222368,+0.00000000,62,-0.26213264,-127.16439880,-1.62,-4.30,-1.47%,+1.37,0.47%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",46 352,05.10.2017,03:35:00,+289.13,+0.03932168,Normal,"sS",46 734,05.10.2017,12:15:00,+293.60,+0.03992960,+289.13000000,-0.83915128,-0.75990000,-4.93618400,-0.83915128,+0.00000000,382,-0.00219673,-128.00355008,-1.71,-4.87,-1.68%,+3.60,1.25%
-,"Long","ETHUSDT",+3.4,+3.4,Normal,"B",46 734,05.10.2017,12:15:00,+293.60,+0.79859200,Normal,"sB",50 258,09.10.2017,01:04:00,+307.34,+0.83596480,+293.60000000,+45.08144320,+46.71600000,+13.25924800,+45.08144320,+0.00000000,3 524,+0.01279269,-82.92210688,+4.52,-1.60,-0.54%,+24.90,8.48%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",50 258,09.10.2017,01:04:00,+307.34,+0.03933952,Normal,"sS",52 014,10.10.2017,13:09:00,+300.83,+0.03850624,+307.34000000,+0.96375424,+1.04160000,+6.02346400,+0.96375424,+0.00000000,1 756,+0.00054883,-81.95835264,+1.96,-2.66,-0.87%,+20.69,6.73%
-,"Long","ETHUSDT",+3.32,+3.32,Normal,"B",52 014,10.10.2017,13:09:00,+300.83,+0.79900448,Normal,"sB",52 619,11.10.2017,01:36:00,+301.00,+0.79945600,+300.83000000,-1.03406048,+0.56440000,-0.31146400,-1.03406048,+0.00000000,605,-0.00170919,-82.99241312,-0.10,-2.93,-0.97%,+7.73,2.57%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",52 619,11.10.2017,01:36:00,+301.00,+0.03852800,Normal,"sS",52 712,11.10.2017,03:45:00,+303.86,+0.03889408,+301.00000000,-0.53502208,-0.45760000,-3.34388800,-0.53502208,+0.00000000,93,-0.00575293,-83.52743520,-1.11,-4.44,-1.48%,+1.54,0.51%
-,"Long","ETHUSDT",+3.27,+3.27,Normal,"B",52 735,11.10.2017,04:09:00,+305.38,+0.79887408,Normal,"sB",52 782,11.10.2017,05:01:00,+301.57,+0.78890712,+305.38000000,-14.04648120,-12.45870000,-4.29556000,-14.04648120,+0.00000000,47,-0.29886130,-97.57391640,-1.41,-5.38,-1.76%,+0.00,0.00%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",52 782,11.10.2017,05:01:00,+301.57,+0.03860096,Normal,"sS",52 867,11.10.2017,07:10:00,+304.49,+0.03897472,+301.57000000,-0.54477568,-0.46720000,-3.40484800,-0.54477568,+0.00000000,85,-0.00640913,-98.11869208,-1.13,-3.91,-1.30%,+1.56,0.52%
-,"Long","ETHUSDT",+3.28,+3.28,Normal,"B",52 867,11.10.2017,07:10:00,+304.49,+0.79898176,Normal,"sB",52 972,11.10.2017,09:39:00,+300.02,+0.78725248,+304.49000000,-16.24783424,-14.66160000,-4.95360800,-16.24783424,+0.00000000,105,-0.15474128,-114.36652632,-1.63,-4.47,-1.47%,+0.51,0.17%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",52 977,11.10.2017,09:44:00,+300.49,+0.03846272,Normal,"sS",53 144,11.10.2017,19:10:00,+303.99,+0.03891072,+300.49000000,-0.63737344,-0.56000000,-3.98358400,-0.63737344,+0.00000000,167,-0.00381661,-115.00389976,-1.33,-3.50,-1.16%,+2.47,0.82%
-,"Long","ETHUSDT",+3.29,+3.29,Normal,"B",53 144,11.10.2017,19:10:00,+303.99,+0.80010168,Normal,"sB",53 817,12.10.2017,16:53:00,+304.11,+0.80041752,+303.99000000,-1.20571920,+0.39480000,-0.36648000,-1.20571920,+0.00000000,673,-0.00179156,-116.20961896,-0.12,-3.40,-1.12%,+6.01,1.98%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",53 817,12.10.2017,16:53:00,+304.11,+0.03892608,Normal,"sS",54 432,13.10.2017,03:58:00,+302.91,+0.03877248,+304.11000000,+0.11430144,+0.19200000,+0.71438400,+0.11430144,+0.00000000,615,+0.00018586,-116.09531752,+0.23,-3.91,-1.29%,+7.11,2.34%
-,"Long","ETHUSDT",+3.3,+3.3,Normal,"B",54 432,13.10.2017,03:58:00,+302.91,+0.79968240,Normal,"sB",57 435,15.10.2017,09:49:00,+324.90,+0.85773600,+302.91000000,+70.90958160,+72.56700000,+21.48775200,+70.90958160,+0.00000000,3 003,+0.02361291,-45.18573592,+7.09,+0.00,0.00%,+51.05,16.85%
-,"Short","ETHUSDT",-0.15,+0.15,Normal,"S",57 435,15.10.2017,09:49:00,+324.90,+0.03898800,Normal,"sS",58 128,15.10.2017,22:16:00,+336.33,+0.04035960,+324.90000000,-1.79384760,-1.71450000,-11.95898400,-1.79384760,+0.00000000,693,-0.00258852,-46.97958352,-3.68,-12.25,-3.77%,+8.73,2.69%
-,"Long","ETHUSDT",+2.97,+2.97,Normal,"B",58 128,15.10.2017,22:16:00,+336.33,+0.79912008,Normal,"sB",59 324,16.10.2017,19:35:00,+333.30,+0.79192080,+336.33000000,-10.59014088,-8.99910000,-3.56570400,-10.59014088,+0.00000000,1 196,-0.00885463,-57.56972440,-1.06,-3.53,-1.05%,+17.67,5.25%
-,"Short","ETHUSDT",-0.14,+0.14,Normal,"S",59 324,16.10.2017,19:35:00,+333.30,+0.03732960,Normal,"sS",63 564,19.10.2017,23:17:00,+311.33,+0.03486896,+333.30000000,+3.00360144,+3.07580000,+21.45429600,+3.00360144,+0.00000000,4 240,+0.00070840,-54.56612296,+6.44,-4.70,-1.41%,+48.62,14.59%
-,"Long","ETHUSDT",+3.21,+3.21,Normal,"B",63 564,19.10.2017,23:17:00,+311.33,+0.79949544,Normal,"sB",64 128,20.10.2017,08:56:00,+302.39,+0.77653752,+311.33000000,-30.27343296,-28.69740000,-9.43097600,-30.27343296,+0.00000000,564,-0.05367630,-84.83955592,-3.03,-9.20,-2.96%,+0.02,0.01%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",64 128,20.10.2017,08:56:00,+302.39,+0.03870592,Normal,"sS",64 403,20.10.2017,13:58:00,+306.58,+0.03924224,+302.39000000,-0.74834816,-0.67040000,-4.67717600,-0.74834816,+0.00000000,275,-0.00272127,-85.58790408,-1.55,-4.49,-1.48%,+0.38,0.13%
-,"Long","ETHUSDT",+3.26,+3.26,Normal,"B",64 404,20.10.2017,13:59:00,+306.58,+0.79956064,Normal,"sB",64 561,20.10.2017,16:37:00,+304.03,+0.79291024,+306.58000000,-9.90547088,-8.31300000,-3.03848800,-9.90547088,+0.00000000,157,-0.06309217,-95.49337496,-0.99,-3.58,-1.17%,+4.60,1.50%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",64 561,20.10.2017,16:37:00,+304.03,+0.03891584,Normal,"sS",66 151,21.10.2017,20:26:00,+298.95,+0.03826560,+304.03000000,+0.73561856,+0.81280000,+4.59761600,+0.73561856,+0.00000000,1 590,+0.00046265,-94.75775640,+1.51,-4.80,-1.58%,+14.03,4.61%
-,"Long","ETHUSDT",+3.35,+3.35,Normal,"B",66 151,21.10.2017,20:26:00,+298.95,+0.80118600,Normal,"sB",66 785,22.10.2017,07:30:00,+293.42,+0.78636560,+298.95000000,-20.11305160,-18.52550000,-6.00389600,-20.11305160,+0.00000000,634,-0.03172406,-114.87080800,-2.01,-5.64,-1.89%,+8.04,2.69%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",66 785,22.10.2017,07:30:00,+293.42,+0.03755776,Normal,"sS",69 182,24.10.2017,01:33:00,+292.88,+0.03748864,+293.42000000,+0.01135360,+0.08640000,+0.07096000,+0.01135360,+0.00000000,2 397,+0.00000474,-114.85945440,+0.02,-4.54,-1.55%,+21.22,7.23%
-,"Long","ETHUSDT",+3.42,+3.42,Normal,"B",69 182,24.10.2017,01:33:00,+292.88,+0.80131968,Normal,"sB",70 570,25.10.2017,01:19:00,+292.02,+0.79896672,+292.88000000,-4.54148640,-2.94120000,-1.32792000,-4.54148640,+0.00000000,1 388,-0.00327196,-119.40094080,-0.45,-3.87,-1.32%,+17.12,5.85%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",70 570,25.10.2017,01:19:00,+292.02,+0.03971472,Normal,"sS",71 608,25.10.2017,19:58:00,+298.00,+0.04052800,+292.02000000,-1.09684272,-1.01660000,-6.45201600,-1.09684272,+0.00000000,1 038,-0.00105669,-120.49778352,-2.21,-7.98,-2.73%,+11.02,3.77%
-,"Long","ETHUSDT",+3.38,+3.38,Normal,"B",71 608,25.10.2017,19:58:00,+298.00,+0.80579200,Normal,"sB",72 903,26.10.2017,19:08:00,+292.02,+0.78962208,+298.00000000,-21.80781408,-20.21240000,-6.45201600,-21.80781408,+0.00000000,1 295,-0.01684001,-142.30559760,-2.17,-5.99,-2.01%,+1.76,0.59%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",72 903,26.10.2017,19:08:00,+292.02,+0.03971472,Normal,"sS",73 236,27.10.2017,01:16:00,+295.84,+0.04023424,+292.02000000,-0.72934896,-0.64940000,-4.29028800,-0.72934896,+0.00000000,333,-0.00219024,-143.03494656,-1.47,-5.18,-1.77%,+0.99,0.34%
-,"Long","ETHUSDT",+3.36,+3.36,Normal,"B",73 236,27.10.2017,01:16:00,+295.84,+0.79521792,Normal,"sB",73 877,27.10.2017,13:35:00,+294.69,+0.79212672,+295.84000000,-5.45134464,-3.86400000,-1.62242400,-5.45134464,+0.00000000,641,-0.00850444,-148.48629120,-0.55,-1.15,-0.39%,+2.26,0.76%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",73 885,27.10.2017,13:43:00,+293.10,+0.03986160,Normal,"sS",74 453,27.10.2017,23:48:00,+296.33,+0.04030088,+293.10000000,-0.62926248,-0.54910000,-3.70154400,-0.62926248,+0.00000000,568,-0.00110786,-149.11555368,-1.26,-3.26,-1.11%,+0.40,0.14%
-,"Long","ETHUSDT",+3.37,+3.37,Normal,"B",74 453,27.10.2017,23:48:00,+296.33,+0.79890568,Normal,"sB",74 676,28.10.2017,03:56:00,+293.28,+0.79068288,+296.33000000,-11.86808856,-10.27850000,-3.52168800,-11.86808856,+0.00000000,223,-0.05322013,-160.98364224,-1.19,-3.52,-1.19%,+0.67,0.23%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",75 127,28.10.2017,12:19:00,+290.98,+0.03957328,Normal,"sS",75 217,28.10.2017,14:07:00,+295.98,+0.04025328,+290.98000000,-0.92982656,-0.85000000,-5.46956800,-0.92982656,+0.00000000,90,-0.01033141,-161.91346880,-1.88,-5.10,-1.75%,+0.88,0.30%
-,"Long","ETHUSDT",+3.43,+3.43,Normal,"B",75 217,28.10.2017,14:07:00,+295.98,+0.81216912,Normal,"sB",75 642,28.10.2017,21:52:00,+291.18,+0.79899792,+295.98000000,-18.07516704,-16.46400000,-5.26972800,-18.07516704,+0.00000000,425,-0.04252980,-179.98863584,-1.78,-4.98,-1.68%,+0.72,0.24%
-,"Long","ETHUSDT",+3.37,+3.37,Normal,"B",76 152,29.10.2017,06:45:00,+295.98,+0.79796208,Normal,"sB",79 250,31.10.2017,14:03:00,+307.92,+0.83015232,+295.98000000,+38.60968560,+40.23780000,+11.45688000,+38.60968560,+0.00000000,3 098,+0.01246278,-141.37895024,+3.87,-0.95,-0.32%,+20.02,6.76%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",79 307,31.10.2017,15:01:00,+304.65,+0.03899520,Normal,"sS",79 675,31.10.2017,22:05:00,+308.28,+0.03945984,+304.65000000,-0.65925504,-0.58080000,-4.12034400,-0.65925504,+0.00000000,368,-0.00179145,-142.03820528,-1.35,-3.71,-1.22%,+0.64,0.21%
-,"Long","ETHUSDT",+3.24,+3.24,Normal,"B",79 678,31.10.2017,22:08:00,+307.30,+0.79652160,Normal,"sB",79 756,31.10.2017,23:37:00,+304.40,+0.78900480,+307.30000000,-10.98152640,-9.39600000,-3.38936000,-10.98152640,+0.00000000,78,-0.14078880,-153.01973168,-1.10,-2.92,-0.95%,+0.87,0.28%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",79 783,01.11.2017,00:12:00,+304.16,+0.03893248,Normal,"sS",81 928,02.11.2017,14:54:00,+286.00,+0.03660800,+304.16000000,+2.83005952,+2.90560000,+17.68787200,+2.83005952,+0.00000000,2 145,+0.00131938,-150.18967216,+5.82,-1.74,-0.57%,+29.43,9.68%
-,"Long","ETHUSDT",+3.46,+3.46,Normal,"B",81 928,02.11.2017,14:54:00,+286.00,+0.79164800,Normal,"sB",82 426,02.11.2017,23:53:00,+283.13,+0.78370384,+286.00000000,-11.50555184,-9.93020000,-3.32530400,-11.50555184,+0.00000000,498,-0.02310352,-161.69522400,-1.16,-5.00,-1.75%,+3.99,1.40%
-,"Short","ETHUSDT",-0.17,+0.17,Normal,"S",82 426,02.11.2017,23:53:00,+283.13,+0.03850568,Normal,"sS",82 517,03.11.2017,01:40:00,+287.85,+0.03914760,+283.13000000,-0.88005328,-0.80240000,-5.17678400,-0.88005328,+0.00000000,91,-0.00967092,-162.57527728,-1.83,-5.86,-2.07%,+1.13,0.40%
-,"Long","ETHUSDT",+3.46,+3.46,Normal,"B",82 517,03.11.2017,01:40:00,+287.85,+0.79676880,Normal,"sB",84 884,04.11.2017,21:01:00,+297.64,+0.82386752,+287.85000000,+32.25276368,+33.87340000,+9.32160800,+32.25276368,+0.00000000,2 367,+0.01362601,-130.32251360,+3.24,-4.78,-1.66%,+19.15,6.65%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",84 884,04.11.2017,21:01:00,+297.64,+0.03809792,Normal,"sS",85 209,05.11.2017,03:01:00,+299.87,+0.03838336,+297.64000000,-0.43328128,-0.35680000,-2.70800800,-0.43328128,+0.00000000,325,-0.00133317,-130.75579488,-0.91,-3.38,-1.14%,+1.43,0.48%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",85 434,05.11.2017,07:08:00,+298.60,+0.03822080,Normal,"sS",86 766,06.11.2017,08:34:00,+294.39,+0.03768192,+298.60000000,+0.59769728,+0.67360000,+3.73560800,+0.59769728,+0.00000000,1 332,+0.00044872,-130.15809760,+1.25,-1.56,-0.52%,+8.49,2.84%
-,"Long","ETHUSDT",+3.38,+3.38,Normal,"B",86 787,06.11.2017,08:56:00,+295.38,+0.79870752,Normal,"sB",87 596,07.11.2017,00:11:00,+297.61,+0.80473744,+295.38000000,+5.93395504,+7.53740000,+1.75560800,+5.93395504,+0.00000000,809,+0.00733493,-124.22414256,+0.59,-0.38,-0.13%,+10.20,3.45%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",87 596,07.11.2017,00:11:00,+297.61,+0.03809408,Normal,"sS",88 066,07.11.2017,09:02:00,+299.27,+0.03830656,+297.61000000,-0.34200064,-0.26560000,-2.13750400,-0.34200064,+0.00000000,470,-0.00072766,-124.56614320,-0.72,-4.39,-1.48%,+2.41,0.81%
-,"Long","ETHUSDT",+3.31,+3.31,Normal,"B",88 216,07.11.2017,11:43:00,+301.82,+0.79921936,Normal,"sB",88 289,07.11.2017,13:03:00,+296.96,+0.78635008,+301.82000000,-17.67216944,-16.08660000,-5.33902400,-17.67216944,+0.00000000,73,-0.24208451,-142.23831264,-1.77,-4.86,-1.61%,+1.70,0.56%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",88 289,07.11.2017,13:03:00,+296.96,+0.03801088,Normal,"sS",89 184,08.11.2017,05:46:00,+296.01,+0.03788928,+296.96000000,+0.07609984,+0.15200000,+0.47562400,+0.07609984,+0.00000000,895,+0.00008503,-142.16221280,+0.16,+0.00,0.00%,+9.96,3.35%
-,"Long","ETHUSDT",+3.37,+3.37,Normal,"B",89 184,08.11.2017,05:46:00,+296.01,+0.79804296,Normal,"sB",90 234,09.11.2017,00:21:00,+300.74,+0.81079504,+296.01000000,+14.33126200,+15.94010000,+4.25260000,+14.33126200,+0.00000000,1 050,+0.01364882,-127.83095080,+1.44,-3.51,-1.19%,+23.99,8.10%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",90 234,09.11.2017,00:21:00,+300.74,+0.03849472,Normal,"sS",90 592,09.11.2017,06:47:00,+314.38,+0.04024064,+300.74000000,-2.26113536,-2.18240000,-14.13209600,-2.26113536,+0.00000000,358,-0.00631602,-130.09208616,-4.70,-13.75,-4.57%,+1.24,0.41%
-,"Long","ETHUSDT",+3.18,+3.18,Normal,"B",90 592,09.11.2017,06:47:00,+314.38,+0.79978272,Normal,"sB",92 101,10.11.2017,11:45:00,+312.18,+0.79418592,+314.38000000,-8.58996864,-6.99600000,-2.70124800,-8.58996864,+0.00000000,1 509,-0.00569249,-138.68205480,-0.86,-4.38,-1.39%,+14.62,4.65%
-,"Short","ETHUSDT",-0.15,+0.15,Normal,"S",92 101,10.11.2017,11:45:00,+312.18,+0.03746160,Normal,"sS",93 746,11.11.2017,17:25:00,+302.23,+0.03626760,+312.18000000,+1.41877080,+1.49250000,+9.45847200,+1.41877080,+0.00000000,1 645,+0.00086247,-137.26328400,+3.03,-1.77,-0.57%,+26.36,8.44%
-,"Long","ETHUSDT",+3.32,+3.32,Normal,"B",93 746,11.11.2017,17:25:00,+302.23,+0.80272288,Normal,"sB",94 252,12.11.2017,02:19:00,+301.92,+0.80189952,+302.23000000,-2.63382240,-1.02920000,-0.79332000,-2.63382240,+0.00000000,506,-0.00520518,-139.89710640,-0.26,-3.23,-1.07%,+15.77,5.22%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",94 252,12.11.2017,02:19:00,+301.92,+0.03864576,Normal,"sS",94 891,12.11.2017,13:06:00,+298.13,+0.03816064,+301.92000000,+0.52959360,+0.60640000,+3.30996000,+0.52959360,+0.00000000,639,+0.00082878,-139.36751280,+1.10,-8.07,-2.67%,+20.91,6.93%
-,"Long","ETHUSDT",+3.32,+3.32,Normal,"B",94 891,12.11.2017,13:06:00,+298.13,+0.79183328,Normal,"sB",96 253,13.11.2017,13:43:00,+309.81,+0.82285536,+298.13000000,+37.16291136,+38.77760000,+11.19364800,+37.16291136,+0.00000000,1 362,+0.02728554,-102.20460144,+3.75,-3.13,-1.05%,+20.75,6.96%
-,"Short","ETHUSDT",-0.16,+0.16,Normal,"S",96 253,13.11.2017,13:43:00,+309.81,+0.03965568,Normal,"sS",96 557,13.11.2017,19:15:00,+312.84,+0.04004352,+309.81000000,-0.56449920,-0.48480000,-3.52812000,-0.56449920,+0.00000000,304,-0.00185691,-102.76910064,-1.14,-3.64,-1.17%,+4.81,1.55%
-,"Long","ETHUSDT",+3.2,+3.2,Normal,"B",96 557,13.11.2017,19:15:00,+312.84,+0.80087040,Normal,"sB",99 063,15.11.2017,15:51:00,+327.00,+0.83712000,+312.84000000,+43.67400960,+45.31200000,+13.64812800,+43.67400960,+0.00000000,2 506,+0.01742778,-59.09509104,+4.36,-5.22,-1.67%,+26.16,8.36%
-,"Short","ETHUSDT",-0.15,+0.15,Normal,"S",99 063,15.11.2017,15:51:00,+327.00,+0.03924000,Normal,"sS",100 192,16.11.2017,12:10:00,+325.12,+0.03901440,+327.00000000,+0.20374560,+0.28200000,+1.35830400,+0.20374560,+0.00000000,1 129,+0.00018047,-58.89134544,+0.42,-6.89,-2.11%,+5.59,1.71%
-,"Long","ETHUSDT",+3.04,+3.04,Normal,"B",100 192,16.11.2017,12:10:00,+325.27,+0.79105664,Normal,"sB",101 285,17.11.2017,07:15:00,+328.40,+0.79866880,+325.27000000,+7.92547456,+9.51520000,+2.60706400,+7.92547456,+0.00000000,1 093,+0.00725112,-50.96587088,+0.80,-0.26,-0.08%,+9.48,2.91%
-,"Short","ETHUSDT",-0.15,+0.15,Normal,"S",101 287,17.11.2017,07:17:00,+326.44,+0.03917280,Normal,"sS",101 687,17.11.2017,14:11:00,+330.13,+0.03961560,+326.44000000,-0.63228840,-0.55350000,-4.21525600,-0.63228840,+0.00000000,400,-0.00158072,-51.59815928,-1.29,-4.78,-1.46%,+2.60,0.80%
